document_id,source_file,source_page,source_table,source_url,extraction_method,confidence,notes
undated_audits_iowa_city_csd_2020,data/raw/district_reports/audits/Iowa City CSD-2020.pdf,,"kpi_scorecard.csv :: solvency_ratio_pct, operating_margin_pct (ICCSD FY2020)",,ICCSDAdvocacy audit extraction (manual),High,"RSM US LLP audit, report dated 2021-01-15"
undated_audits_iowa_city_csd_2021,data/raw/district_reports/audits/Iowa City CSD-2021.pdf,,"kpi_scorecard.csv :: solvency_ratio_pct, operating_margin_pct (ICCSD FY2021)",,ICCSDAdvocacy audit extraction (manual),High,"RSM US LLP audit, report dated 2022-01-19"
undated_audits_iowa_city_csd_2022,data/raw/district_reports/audits/Iowa City CSD-2022.pdf,,"kpi_scorecard.csv :: solvency_ratio_pct, operating_margin_pct (ICCSD FY2022)",,ICCSDAdvocacy audit extraction (manual),High,"RSM US LLP audit, report dated 2022-12-20"
undated_audits_iowa_city_csd_2023,data/raw/district_reports/audits/Iowa City CSD-2023.pdf,,"kpi_scorecard.csv :: solvency_ratio_pct, operating_margin_pct (ICCSD FY2023)",,ICCSDAdvocacy audit extraction (manual),Medium,"RSM US LLP audit, report dated 2025-08-27; FY2023 issued 26+ months late, material weakness"
undated_district_extractions_iowa_city_csd,data/raw/manual_uploads/iccsd_advocacy_extractions/district-extractions/Iowa_City_CSD.csv,,"kpi_scorecard.csv :: solvency_ratio_pct, operating_margin_pct (ICCSD FY2020-2023)",,imported from ICCSDAdvocacy repo (pipe-delimited),high,"Per-year ACFR extraction: GF revenue/expenditure/fund balance, unassigned, AEA flow-through."
undated_dom_aea_flowthrough,data/raw/manual_uploads/iccsd_advocacy_extractions/dom/aea-flowthrough.csv,,kpi_scorecard.csv + gf_forecast.csv :: solvency denominator (revenue - AEA flow-through),,imported from ICCSDAdvocacy repo (Iowa DOM),high,AEA flow-through removed from the solvency denominator per policy 701.5R1.
undated_dom_unspent_authorized_budget,data/raw/manual_uploads/iccsd_advocacy_extractions/dom/unspent-authorized-budget.csv,,"kpi_scorecard.csv :: uab_pct_of_max (ICCSD + 14 peers, FY2020-2025)",,imported from ICCSDAdvocacy repo (Iowa DOM filing),high,"Unspent Authorized Budget / Maximum Authorized Budget, per Iowa DOM."
2026-04-01_attachments_b_01_02_pfm_summary_of_comprehensive_fiscal_analysis_tax_anticipation_warrants,data/raw/board_packets/2026-04-01_Work_Session/attachments/B_01_02_PFM Summary of Comprehensive Fiscal Analysis - Tax Anticipation Warrants.pdf,,gf_forecast.csv :: base-case GF revenue & expenditure (FY2026-FY2029),,PFM 7-year GF cash-flow model (board presentation),high,"PFM Summary of Comprehensive Fiscal Analysis, 4/1/2026 Work Session — the base case."
2026-04-01_attachments_b_01_01_capital_outlay_borrowing_need_memo_update_for_4_1,data/raw/board_packets/2026-04-01_Work_Session/attachments/B_01_01_Capital Outlay Borrowing Need Memo Update for 4_1.pdf,,gf_forecast.csv + monthly_liquidity.csv :: warrant & financing assumptions,,PFM / COO borrowing-need memo (board presentation),high,"Capital Outlay Borrowing Need Memo update for 4/1/2026 (warrant sizing, interfund flows)."
2026-06-09_attachments_k_02_01_pfm_presentation_iccsd_capital_funding_capacity_save_ppel_06092026,data/raw/board_packets/2026-06-09_Board_of_Directors/attachments/K_02_01_PFM Presentation ICCSD Capital Funding Capacity SAVE & PPEL 06092026.pdf,,gf_forecast.csv + monthly_liquidity.csv :: capital-funding & SAVE repayment context,,PFM Capital Funding Capacity (board presentation),high,"PFM Presentation: ICCSD Capital Funding Capacity (SAVE & PPEL), 6/9/2026."
undated_dom_cash_reserve_levy,data/raw/manual_uploads/iccsd_advocacy_extractions/dom/cash-reserve-levy.csv,,"gf_forecast.csv :: FY2024 assigned+unassigned anchor ($14,881,750)",,imported from ICCSDAdvocacy repo (Iowa DOM),high,FY2024 Certified Annual Report figure via the Iowa DOM cash-reserve-levy worksheet.
2026-01-27_attachments_l_01_01_resolution_approving_interfund_loan_iccsd,data/raw/board_packets/2026-01-27_Board_of_Directors/attachments/L_01_01_Resolution Approving Interfund Loan ICCSD.pdf,1,monthly_liquidity.csv :: dated interfund/property cash events,,PDF extraction (source-tagged in normalized table),high,Board-packet source document.
2026-02-10_attachments_k_02_01_fy26_quarter_2_financial_report_1,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,"3,5",monthly_liquidity.csv :: FY2025 seasonality ; monthly_liquidity.csv :: start cash position,,PDF extraction (source-tagged in normalized table),medium,Board-packet source document.
2026-04-01_attachments_b_01_01_capital_outlay_borrowing_need_memo_update_for_4_1,data/raw/board_packets/2026-04-01_Work_Session/attachments/B_01_01_Capital Outlay Borrowing Need Memo Update for 4_1.pdf,1,monthly_liquidity.csv :: dated interfund/property cash events,,PDF extraction (source-tagged in normalized table),high,Board-packet source document.
2026-05-12_attachments_f_18_02_hills_property_notice_of_public_hearing_deposit_of_proceeds_to_genera,data/raw/board_packets/2026-05-12_Board_of_Directors/attachments/F_18_02_Hills Property Notice of Public Hearing Deposit of Proceeds to Genera.pdf,1,monthly_liquidity.csv :: dated interfund/property cash events,,PDF extraction (source-tagged in normalized table),low,Board-packet source document.
2026-05-12_attachments_k_02_01_financials_as_of_3_31_26_board_mtg_5_12_26,data/raw/board_packets/2026-05-12_Board_of_Directors/attachments/K_02_01_Financials as of 3.31.26 Board Mtg 5.12.26.pdf,5,monthly_liquidity.csv :: start cash position,,PDF extraction (source-tagged in normalized table),medium,Board-packet source document.
2026-05-12_attachments_l_04_02_resolution_approving_interfund_loan_gf_to_save_iowa_city_csd,data/raw/board_packets/2026-05-12_Board_of_Directors/attachments/L_04_02_Resolution Approving Interfund Loan GF to SAVE Iowa City CSD.pdf,1,monthly_liquidity.csv :: dated interfund/property cash events,,PDF extraction (source-tagged in normalized table),high,Board-packet source document.
